"-", "Sat Apr 18 08:21:47 PDT 2009", "fichek", "discovered an annoying flaw of UIProgressView in Cocoa Touch. There is no way to animate it with standard Core Animation methods "
"-", "Sat Apr 18 08:24:49 PDT 2009", "AshleighCurtisx", "Guess Whose Back :L  Charging My Ipod Coz It Died "
"-", "Sat Apr 18 08:46:54 PDT 2009", "rhiananpitcher", "Is awake and getting ready to start my day "
"-", "Sat Apr 18 08:51:50 PDT 2009", "argonman", "Fresno is supposed to reach 97F on Tuesday.  Blah. "
"-", "Sat Apr 18 08:55:30 PDT 2009", "mana_junkie", "@Mothersload it's going to be more of a house cleaning day since it's starting to spit outside a little. "
"-", "Sat Apr 18 09:00:02 PDT 2009", "Augustina22CA", "im lonely  keep me company! 22 female, california"
"-", "Sat Apr 18 09:00:49 PDT 2009", "moca2005", "@utbrown sorry, can't help there "
"-", "Sat Apr 18 09:05:03 PDT 2009", "nexxai", "@BreakenNews what the hell happened to the sun website?  it used to be a little dated, but now, it's busier than a mutha' and ugly as sin "
"-", "Sat Apr 18 09:06:57 PDT 2009", "RopeMarksMuse", "tinytwit and cetwit don't work "
"-", "Sat Apr 18 09:16:12 PDT 2009", "uqd", "@Vanessa_Blue i am until upset for the videochat yesterday.  "
"-", "Sat Apr 18 09:16:41 PDT 2009", "ashleyoc22", "studying for finals  good ol' stock valuation.. options &amp; futures.. and duration management... its gonna be a long day!"
"-", "Sat Apr 18 09:20:05 PDT 2009", "SaylaChavero", "Happy that I stay in last night. Sad that I miss Ally game this morning. "
"-", "Sat Apr 18 09:20:30 PDT 2009", "gt_p", "@Danacea me jealous now "
"-", "Sat Apr 18 09:20:59 PDT 2009", "SirTwitch", "I'm bummed that my version of Batman Beyond is edited! "
"-", "Sat Apr 18 09:46:10 PDT 2009", "sea028", "Worlds worst record for phone breaking  cleared my phone again. Send pins and numbers pleaseee."
"-", "Sat Apr 18 09:50:11 PDT 2009", "msmusicluvmagic", "OMG... I forgot our pretty and delicious APPLE...so sad "
"-", "Sat Apr 18 09:50:54 PDT 2009", "Hoshichan", "@etherbrian I would have happily looked up your street view to see you dressed up as Elvis, too. "
"-", "Sat Apr 18 10:06:18 PDT 2009", "latticelinux", "@KristenYanda   Aww do i have to? Me and cara had plans "
"-", "Sat Apr 18 10:11:09 PDT 2009", "LouRusso2", "@nebbiolata It makes me really miss my Zia.  "
"-", "Sat Apr 18 10:20:21 PDT 2009", "StJoan", "@burningsound  poor everyone so I'm guessing meeting up tonight isn't going to happen? maybe we could like do facebook chat or something?"
"-", "Sat Apr 18 10:20:37 PDT 2009", "dereknolan", "Recovering my PC from an epic hard disk crash.  According to the program, estimated time remaining is 1012 hours, 7 minutes Wowza... "
"-", "Sat Apr 18 10:36:33 PDT 2009", "elleb87", "@littledotty nope not my job, not heard anything from that nor my assignment results im expecting. just about life really  its poo"
"-", "Sat Apr 18 13:18:35 PDT 2009", "belladonna20", "@DonnaMirfield WHHHAAAT!!! I am tres jealous of that... mine doesn't go in until the 24th  I found chocolate so much better thanks! x"
"-", "Sat Apr 18 13:22:58 PDT 2009", "LindzHMarquez", "I have a sick puppy baby "
"-", "Sat Apr 18 13:23:51 PDT 2009", "qisforcute", "@RonnieWK I bought a pair of boots there, and I just got them...they sent me two left shoes. Now I won't have them for Niagara Falls "
"-", "Sat Apr 18 13:29:17 PDT 2009", "BEDLAMVoytek", "working on a blog idea. too many things to choose from and not enough mechanisms that reinforce our choices. we design for short run "
"-", "Sat Apr 18 13:33:43 PDT 2009", "ESwee", "@GabrielSaporta The rain is depressing... "
"-", "Sat Apr 18 13:33:54 PDT 2009", "ammarX", "going to bed, alone as usual "
"-", "Sat Apr 18 13:48:08 PDT 2009", "cornbreadturner", "@DoNotDisconnect  you pirate. every time you do that, a kitten dies horribly. also, cd quality &gt; mp3"
"-", "Sat Apr 18 13:48:10 PDT 2009", "BreakDancingAmy", "@emmyISemily my LEGS look really kool? rofl datz a 1st  buhhh byeeee "
"-", "Sat Apr 18 13:49:25 PDT 2009", "hello_jodie", "@KelleeAnne No shit man.  I *almost* went back when they first got there before they started production. I guess I'll just have to wait."
"-", "Sat Apr 18 14:02:59 PDT 2009", "itsmejlee", "&quot;the dating expert&quot; is following me on here ............................ "
"-", "Sat Apr 18 14:03:47 PDT 2009", "miss_ashley", "im always hanging with the boys...and feeling left out "
"-", "Sat Apr 18 14:03:47 PDT 2009", "Oceano78", "Omg why wats going on people    http://tinyurl.com/d5x6wl"
"-", "Sat Apr 18 14:14:10 PDT 2009", "Pasiphae9", "@Miss_Suse T'was the glyphoto...I wish you could've came  How are you?"
"-", "Sat Apr 18 14:14:46 PDT 2009", "joannmyles", "In the Apple store today Jack said &quot;Mommy I have to pee...Awwww too late!&quot;   Opps!"
"-", "Sat Apr 18 14:19:52 PDT 2009", "atana", "So have to do this jop done by tomorrow.... "
"-", "Sat Apr 18 14:38:29 PDT 2009", "JaneticsInk", "I'm home "
"-", "Sat Apr 18 14:44:27 PDT 2009", "ColineCreuzot", "I think a spider bit me  I got a big red mark on my arm!! I googled spider bites and saw pics and now im scared!!!!! lol"
"-", "Sat Apr 18 14:49:08 PDT 2009", "Arti_Sodmg", "@ayyy_courtney i had to renew my passport. "
"-", "Sat Apr 18 14:58:57 PDT 2009", "polishedtwo", "It was supposed to rain a whole bunch today, so I didn't go out to Old Settler's Music Festival. Now it looks really nice outside. "
"-", "Sat Apr 18 14:59:04 PDT 2009", "k_charles", "I wish the rain would stop...its so ugly here in Houston right now "
"-", "Sat Apr 18 14:59:49 PDT 2009", "SWIP", "In long beach our flight doesn't take off until 4:50  but I'm almost home, Mexico was AMAZING  But damn I'm bored I'm the airport"
"-", "Sat Apr 18 15:09:29 PDT 2009", "Leahhh_x", "Back to school Tuesday  but then its only 5 weeks till Summer yay"
"-", "Sat Apr 18 15:13:26 PDT 2009", "mylittleponys", "is missing Jon rather alot and hope he finishes work early!! "
"-", "Sat Apr 18 15:23:13 PDT 2009", "stebooby", "db birthday. its so hot "
"-", "Sat Apr 18 15:28:40 PDT 2009", "ShelbyStroman", "@Vinny_Vegas i didnt see you at the merch table "
"-", "Sat Apr 18 15:30:05 PDT 2009", "sharonginelle", "@raganmd  that is so infuriating."
"-", "Sat Apr 18 15:39:07 PDT 2009", "panamenanegra", "@thamanagement oh no whats wrong pumpkin "
"-", "Sat Apr 18 15:49:39 PDT 2009", "xo0chelc", "doesnt really like when matthew goes out of town "
"-", "Sat Apr 18 15:50:30 PDT 2009", "charlottemay", "mehhhhhh...fed up! might just trot off to bed... night "
"-", "Sat Apr 18 15:53:41 PDT 2009", "julieobrien", "I completely shat myself when the mannequins at the exhibition moved   [headbutting Jamie in the process x)]"
"-", "Sat Apr 18 15:53:56 PDT 2009", "TheShowstopper1", "@seriouslyrad I once had a dog named Rocky "
"-", "Sat Apr 18 15:54:43 PDT 2009", "HaliRyan", "going bowling; &amp;sunburnt "
"-", "Sat Apr 18 15:59:39 PDT 2009", "butifful", "@WillBates yeah lol  we go thru this every day unfortunately ...."
"-", "Sat Apr 18 16:04:03 PDT 2009", "sniffinglue", "They changed the recipe of the wings at billiards "
"-", "Sat Apr 18 16:05:03 PDT 2009", "WRParks", "at home without my queen     "
"-", "Sat Apr 18 16:05:06 PDT 2009", "cravenjade", "@cameronstewart I was just thinking that.  I was worried enough about hitting roos and pets while driving at night"
"-", "Sat Apr 18 16:53:11 PDT 2009", "smyjamie", "Everyone in shoreditch looks like grimmy and it makes me "
"-", "Sat Apr 18 17:13:35 PDT 2009", "xoyourstruelyox", "is lonely "
"-", "Sat Apr 18 20:30:32 PDT 2009", "jenabhone", "@nicholasnadel hey are you still sick?  i hope you get better! I miss you beyond reason! &lt;3"
"-", "Sat Apr 18 20:31:08 PDT 2009", "dacort", "Just made a service that's wholly depressing. Shows everybody I'm following that's not following back. "
"-", "Sat Apr 18 20:35:48 PDT 2009", "donutpower", "@babybird42  me would be playing WoW but its not possible "
"-", "Sat Apr 18 20:40:57 PDT 2009", "pian0", "@eboyle In a lot of pain. He's getting surgery on Monday to have a direct point for morphine to go in. "
"-", "Sat Apr 18 20:42:12 PDT 2009", "themaguire", "@MillionaireRob its happens everytime i try and ichat some1 "
"-", "Sat Apr 18 20:45:57 PDT 2009", "Dan_Schwartz", "@lecombat @birdsall @VickyNissen @juliarygaard @ConnieHair @Trish1981 @lynnakay and others: Sorry for the twitter spam ~5 hours ago! "
"-", "Sat Apr 18 20:51:42 PDT 2009", "harleyquinngrin", "I think Zydeco popped a hole in the air bed.  Oh, crap."
"-", "Sat Apr 18 20:52:10 PDT 2009", "luciiiiiii", "@hannah_nguyen when did u get back babe? should have celled me  miss u babe &lt;3"
"-", "Sat Apr 18 20:56:35 PDT 2009", "kiddo_jersey", "@leahchu...  then who are you? a ghost?"
"-", "Sat Apr 18 20:57:01 PDT 2009", "mackiesgirl8286", "@thatgirl22143  This was back when he was 19, I believe. He wont get his license back til the end of this year. "
"-", "Sat Apr 18 21:06:52 PDT 2009", "MissPear", "Aaaaaaaaand here we are again, with mind-numbing inevitability. "
"-", "Sat Apr 18 21:10:24 PDT 2009", "marifebacani", "ouch. i have the biggest headache ever. "
"-", "Sat Apr 18 21:11:45 PDT 2009", "patttyjonas", "has nothing to do "
"-", "Sat Apr 18 21:16:36 PDT 2009", "alyce_harlequin", "i'm too sleep deprived to enjoy all this house music i'm playing - I will never stay up till 4:30 am only to get up for school at 6am    "
"-", "Sat Apr 18 21:20:52 PDT 2009", "JANEBERRY", "Its HELLA cold  feeling shleepy. Sweet dreams lovelies!"
"-", "Sat Apr 18 21:22:31 PDT 2009", "MajorHarris", "This is a night where I wanna run da streets of Harlem but I can't "
"-", "Sat Apr 18 21:30:42 PDT 2009", "gi_gi_bee", "@Author82 "
"-", "Sat Apr 18 21:44:43 PDT 2009", "ChelseaMeow", "so stressed out, I'm breaking out  Night twitter land."
"-", "Sat Apr 18 21:44:44 PDT 2009", "rperdio", "@las_vegas_grl83 Argh! Spoiler!!! "
"-", "Sat Apr 18 21:51:45 PDT 2009", "basilisknz", "@tindling i had peoples. and awesome sandwiches things with emily and charlie. yumminess. no eggs though "
"-", "Sat Apr 18 22:01:27 PDT 2009", "theSaMarie", "yea... bored.. "
"-", "Sat Apr 18 22:17:39 PDT 2009", "jaymichigan", "I kind of feel like I need to boycott &quot;24&quot; now. "
"-", "Sat Apr 18 22:20:01 PDT 2009", "tessthetraveler", "my sister gives me so much shit for being on twitter  i'm so uncool."
"-", "Sat Apr 18 22:22:42 PDT 2009", "jennimarkham", "Not feeling well, at all, rotten head cold. "
"-", "Sat Apr 18 22:26:04 PDT 2009", "iPHAIL", "I'm tired and I want one of Rose's kittens.  Why must you be 1,600 miles away from meeeeeeee "
"-", "Sat Apr 18 22:36:24 PDT 2009", "StormClaudi", "@IzzyJ_Is_Here ohhhh ladyyyyy... i wish i could help!!  i send you many many hugs!!!!!!!!!!"
"-", "Sat Apr 18 22:41:24 PDT 2009", "MariselaB", "@farre I went to BJs (like Costco) &amp; they had NOTHING I wanted &amp; walked out empty-handed.  Usually have luck there so I check there 1st. "
"-", "Sat Apr 18 22:44:24 PDT 2009", "DiegoChico", "@twenty_3 LOL you ignored my Friday facebook status "
"-", "Sat Apr 18 22:50:49 PDT 2009", "LOweeee", "@shessokillher aww.. good luck with work tomorrow! I hope you feel better. They ended up giving me the weekend off. I would've died. "
"-", "Sat Apr 18 23:16:01 PDT 2009", "cassper11", "It's raining "
"-", "Sat Apr 18 23:35:18 PDT 2009", "tiramisuloverr", "It's been a long day, now I'm sleeping alone. "
"-", "Sat Apr 18 23:40:00 PDT 2009", "snoopmikey", "@sirdesmond haha... hmm... well... hmm... yeah.  sorry. "
"-", "Sat Apr 18 23:40:05 PDT 2009", "TheBubbleGum", "Uh.. I think i just canceled the whole installation... "
"-", "Sat Apr 18 23:48:03 PDT 2009", "firewontquell", "ate an insane amount of food at @bombnomnom's dinner party! last day of our four day weekend tomorrow "
